,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка,Лифт,Улица
0,р-н Центральный,35000.0,3,116.0,20.0,5,"балкон, лоджия",изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,9,1,0,за шлагбаумом во дворе,1,ул. Карла Либкнехта
1,р-н Центральный,27000.0,3,80.0,15.0,2,балкон,изолированные,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор",Wi-Fi,1,0,0,кирпичный,5,0,0,за шлагбаумом во дворе,0,Красная пл.
2,р-н Центральный,12000.0,2,58.0,12.0,1,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
3,р-н Центральный,13000.0,2,75.0,15.0,5,лоджия,изолированные,,косметический,,,Wi-Fi,1,0,0,монолитный,10,1,0,открытая во дворе,1,пр-т Победы
4,р-н Центральный,15000.0,3,85.0,13.0,9,лоджия,"изолированные, смежные",раздельный,евро,кухня,"холодильник, плита",,1,0,0,панельный,10,0,0,открытая во дворе,0,Студенческая ул.
5,р-н Центральный,50000.0,3,113.0,16.0,7,"балкон, лоджия",изолированные,,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",1,1,1,кирпичный,7,1,0,за шлагбаумом во дворе,1,ул. Горького
6,р-н Центральный,8000.0,1,41.0,11.0,4,лоджия,,раздельный,косметический,,"холодильник, плита",,0,0,0,панельный,9,1,0,,1,пр-т Хрущёва
7,р-н Центральный,45000.0,3,58.0,20.0,8,балкон,изолированные,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор",Wi-Fi,1,0,0,кирпичный,9,1,0,за шлагбаумом во дворе,1,ул. Блинова
8,р-н Центральный,10000.0,1,30.0,9.0,1,балкон,,,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,0,0,0,панельный,17,1,0,открытая во дворе,1,пр-т Надежды Плевицкой
9,р-н Железнодорожный,20000.0,1,33.0,6.0,2,балкон,,совмещенный,дизайнерский,,,,0,0,0,панельный,9,0,0,,0,Союзная ул.
10,р-н Центральный,10000.0,1,37.0,18.0,10,балкон,,совмещенный,евро,"кухня, спальные места",плита,"Wi-Fi, телевидение",0,0,0,панельный,10,1,1,открытая во дворе,1,пр-т Надежды Плевицкой
11,р-н Центральный,12000.0,1,54.0,12.0,2,,,совмещенный,косметический,,,,1,0,0,монолитный,10,0,0,,0,пр-т Победы
12,р-н Центральный,12000.0,1,32.0,7.0,5,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,1,0,0,кирпичный,5,0,0,за шлагбаумом во дворе,0,Почтовая ул.
13,р-н Центральный,15000.0,1,30.0,6.0,4,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,5,0,0,открытая во дворе,0,ул. 50 лет Октября
14,р-н Центральный,15000.0,3,80.0,10.0,15,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, телевизор",,0,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Вячеслава Клыкова
15,р-н Центральный,15500.0,2,47.0,8.0,2,,изолированные,раздельный,косметический,"кухня, хранение одежды",плита,,1,1,1,кирпичный,3,0,0,открытая во дворе,0,ул. Дзержинского
16,р-н Центральный,13000.0,2,45.0,6.0,3,балкон,смежные,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,4,0,0,открытая во дворе,0,ул. Карла Маркса
17,р-н Центральный,19000.0,1,35.0,9.5,9,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","кондиционер, плита, микроволновка, стиральная машина, телевизор",,0,0,0,кирпичный,10,0,0,,0,ул. Блинова
